path	sha256	flow	entry_or_caller	effect_or_consumer	tests	state	evidence	next_action
packages/containerhub-agent/src/terminalRoutes.ts	aa21d0718fc6b0f5a6e9b5fea67450be4047fa5dfa27ec3aa43cbe5b4950f4b0	services	packages/containerhub-agent/src/server.ts:61	packages/containerhub-back/src/modules/services/services/AgentTerminalClient.ts:19	packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:17	unchanged	packages/containerhub-agent/src/terminalRoutes.ts:59 WS valida objetivo, inspecciona labels y temporizadores; close limpia stream/socket	packages/containerhub-agent/src/terminalRoutes.ts:59 Mantener terminal acoplado a ciclo de vida; caracterizar desconexión y resize antes de cualquier corte
packages/containerhub-back/src/modules/services/graphql/Service.graphql	1cddb66f7bc1dcfceb29580dddbc07527d06a46a1a6aac3451143651ba1f8432	services	packages/containerhub-back/src/modules/services/graphql/Service.graphql:34	packages/containerhub-back/src/modules/services/resolvers/Service.resolvers.ts:5	packages/containerhub-back/src/modules/services/services/__tests__/ServiceService.test.ts:17	unchanged	packages/containerhub-back/src/modules/services/graphql/Service.graphql:39 Query/Mutation GraphQL paralelas a HTTP, con permisos en resolvers	packages/containerhub-back/src/modules/services/graphql/Service.graphql:39 Mantener contrato GraphQL; verificar uso real antes de proponer consolidación
packages/containerhub-back/src/modules/services/helpers/mapInspectToServiceModel.ts	f3de4fef7e87211ca83bdb387ea3085e3dfd1ff871cf9b6c7a2305c9c235e1fe	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:85	packages/containerhub-front/src/cruds/ServiceCrud.ts:23	packages/containerhub-back/src/modules/services/services/__tests__/ServiceInspectCompatibility.test.ts:48	unchanged	packages/containerhub-back/src/modules/services/helpers/mapInspectToServiceModel.ts:146 redacta env/labels salvo revealConfiguration y proyecta puertos/recursos	packages/containerhub-back/src/modules/services/helpers/mapInspectToServiceModel.ts:146 Mantener mapper explícito; caracterizar redacción antes de tocarlo
packages/containerhub-back/src/modules/services/helpers/parseDockerImageReference.ts	01fa61139c43255e34b71143b172db22b5df84449b605fa1f3816b2ef0dd4d38	services	packages/containerhub-back/src/modules/services/helpers/mapInspectToServiceModel.ts:152	packages/containerhub-front/src/cruds/ServiceCrud.ts:16	packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts:5	unchanged	packages/containerhub-back/src/modules/services/helpers/parseDockerImageReference.ts:11 separa puerto de registry de tag y preserva digest-only	packages/containerhub-back/src/modules/services/helpers/parseDockerImageReference.ts:11 Mantener parser compartido; añadir casos sólo si aparece referencia nueva
packages/containerhub-back/src/modules/services/permissions/DockerPermissions.ts	d8a3907d01b10130c529a568d3afaa31d8e856c6a2ab11babc6406f51dbea344	services	packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:4	packages/containerhub-back/src/modules/services/routes/requirePermission.ts:3	packages/containerhub-back/src/modules/services/services/__tests__/ClusterSummary.test.ts:31	unchanged	packages/containerhub-back/src/modules/services/permissions/DockerPermissions.ts:1 constantes de permisos consumidas por REST y GraphQL	packages/containerhub-back/src/modules/services/permissions/DockerPermissions.ts:1 Mantener diccionario único de permisos
packages/containerhub-back/src/modules/services/resolvers/Service.resolvers.ts	676780797bcb84fc4c12afd47dfc818fd82d6275ea29ff3fc65a7759253f67e0	services	packages/containerhub-back/src/modules/services/graphql/Service.graphql:34	packages/containerhub-back/src/modules/services/services/ServiceService.ts:202	packages/containerhub-back/src/modules/services/services/__tests__/ServiceService.test.ts:17	unchanged	packages/containerhub-back/src/modules/services/resolvers/Service.resolvers.ts:7 Query aplica View; Mutation Restart/Remove comprueba permiso y audita	packages/containerhub-back/src/modules/services/resolvers/Service.resolvers.ts:7 Mantener adaptador GraphQL sin duplicar negocio
packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts	44b547d6a03d7b6a131e83a5abcf44c6dd0ef6dc3bd00c46ea00080a1414f1c5	services	packages/containerhub-front/src/cruds/ServiceCrud.ts:51	packages/containerhub-back/src/modules/services/services/ServiceService.ts:97	packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:163	unchanged	packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:76 rutas agrupan servicios/tareas/nodos/redes/files; protectedRoute fija preHandler; packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:143-151 close previo a resolver streamTaskLogs deja stopStreaming indefinido (riesgo funcional no verificado); revisión de puerta: El registro único deja visibles método, permiso y handler; dividir por dominios añade imports/registro y dificulta comprobar el contrato sin reducir lógica. Riesgo de cambiar permisos u orden de rutas dinámicas; beneficio neto de lectura de extraerlo ahora es negativo. El posible cierre prematuro de logs es un defecto funcional separado, no un refactor.	Conservar límite actual. Si se solicita corregir el cierre WS, caracterizar close durante apertura pendiente, error y destrucción del stream con WebSocket real y Docker stub, luego tratarlo como cambio funcional propio. Para dividir rutas exigir primero prueba de compatibilidad de permisos/orden, respuesta y auditoría de network; sin ella no moverlas.
packages/containerhub-back/src/modules/services/routes/TerminalRoutes.ts	627250860a1564f5a80ed5e120acfaa286e260a4712ee27ff734cc84267bd2fb	services	packages/containerhub-front/src/pages/services/TaskTerminalPage.vue:124	packages/containerhub-back/src/modules/services/services/ServiceService.ts:356	packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts:19	unchanged	packages/containerhub-back/src/modules/services/routes/TerminalRoutes.ts:79 ticket de un uso/origen, cola de bytes previa a remote ready y cierre por idle; revisión de puerta: La sesión es una sola máquina temporal: admisión del ticket, cola previa, ready, backpressure, resize coalescido, temporizadores y teardown comparten variables. Extraer callbacks multiplica estado pasado y saltos, sin ganancia neta de lectura; riesgo alto de carreras y de romper el cierre o control de origen.	Conservar límite actual. Sólo reconsiderar al aparecer una separación de dueño real; GREEN antes/después de WS con permiso/origen/ticket real, input antes de ready, resize concurrente, exceso de buffer, expiración/idle y cierre durante conexión tardía. Verificar identidad remota aparte; no inferirla del test con mock.
packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts	b1ddc6d331f6934b5e4bab5231c03f99830cb6955fbb0f28386cd17066d06e3f	services	packages/containerhub-back/src/modules/services/routes/TerminalRoutes.ts:67	packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts:19	packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts:19-143	unchanged	packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts:19 browser contract queues initial resize/input during remote setup and cleans late connections; packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts:143 terminal reports setup failures through a WebSocket close reason	packages/containerhub-back/src/modules/services/routes/__tests__/TerminalRoutes.test.ts:143 Ampliar secuencia de cierre/resize si se toca TerminalRoutes
packages/containerhub-back/src/modules/services/routes/requirePermission.ts	8fb9f12748137a3cce0d9bda7f17c2cbfc9fc7187a4ad70e18ebb809ad1939e9	services	packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:27	packages/containerhub-back/src/modules/services/permissions/DockerPermissions.ts:1	packages/containerhub-back/src/modules/services/services/__tests__/ServiceHttpCompatibility.test.ts:61	unchanged	packages/containerhub-back/src/modules/services/routes/requirePermission.ts:3 delega aserción RBAC a request.rbac	packages/containerhub-back/src/modules/services/routes/requirePermission.ts:3 Mantener helper de una frontera usado por rutas; no añadir interfaz
packages/containerhub-back/src/modules/services/services/AgentHealthClient.ts	b16f2c940b782787d25eacaac482bcbefc5087c34b337174642ab96ee59f3ce3	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:81	packages/containerhub-agent/src/server.ts:62	packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts:8	unchanged	packages/containerhub-back/src/modules/services/services/AgentHealthClient.ts:96 DNSRR sondea /health por nodeId antes de stats/files; rechaza payload no coincidente	packages/containerhub-back/src/modules/services/services/AgentHealthClient.ts:96 Mantener identificación por nodo; revisar límite de 8 MiB si inventarios reales lo exceden
packages/containerhub-back/src/modules/services/services/AgentTerminalClient.ts	dbca941266fbe78840bdf103e89d57c51991dcef55a7804882f7d1b30c8d2d0c	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:367	packages/containerhub-agent/src/terminalRoutes.ts:16	packages/containerhub-agent/src/__tests__/terminalRoutes.test.ts:17	unchanged	packages/containerhub-back/src/modules/services/services/AgentTerminalClient.ts:51 ready con nodeId verifica identidad; Duplex puentea binarios y backpressure	packages/containerhub-back/src/modules/services/services/AgentTerminalClient.ts:51 Mantener transporte con la ruta; extraer sólo con prueba WSS/binario y cierre idéntica
packages/containerhub-back/src/modules/services/services/ContainerStats.ts	5a52e474a99f939c76d538c3cedcc3cd975a7afd1906bd50c789f96aefd903e8	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:401	packages/containerhub-front/src/pages/services/TaskStatisticsPage.vue:102	packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts:17	unchanged	packages/containerhub-back/src/modules/services/services/ContainerStats.ts:17 Zod normaliza CPU/memoria/IO y mantiene campos legacy	packages/containerhub-back/src/modules/services/services/ContainerStats.ts:17 Mantener módulo puro; no fusionar presentación con cálculo
packages/containerhub-back/src/modules/services/services/ServiceFilters.ts	8b782eeffa34c4ab5983d2d1f61850da273ae843c3c9026399d7c75bfeec3e6c	services	packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:85	packages/containerhub-back/src/modules/services/services/ServiceService.ts:107	packages/containerhub-back/src/modules/services/services/__tests__/ServiceService.test.ts:23	unchanged	packages/containerhub-back/src/modules/services/services/ServiceFilters.ts:33 parse de operadores y matching comparten whitelist y orden	packages/containerhub-back/src/modules/services/services/ServiceFilters.ts:33 Mantener helper puro existente; no recrearlo
packages/containerhub-back/src/modules/services/services/ServiceMutationAudit.ts	b202bb5cf991bb94804e634089e63c83e7e33b0cd74f9653469341827403643a	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:185	packages/containerhub-back/src/modules/services/services/__tests__/ServiceMutationAudit.test.ts:10	packages/containerhub-back/src/modules/services/services/__tests__/ServiceMutationAudit.test.ts:10	unchanged	packages/containerhub-back/src/modules/services/services/ServiceMutationAudit.ts:29 audita tras Docker; fallo del audit se registra pero no invalida mutación	packages/containerhub-back/src/modules/services/services/ServiceMutationAudit.ts:29 Mantener resultado Docker distinto de persistencia de auditoría; evitar refactor conductual
packages/containerhub-back/src/modules/services/services/ServiceService.ts	ea8d55b1fdbc0de8831f25875d8a1a7a5848be0b3a2e2e2381c65db61d956cf1	services	packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:11	packages/containerhub-agent/src/agentProvisioningRoutes.ts:144	packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts:34	blocked	packages/containerhub-back/src/modules/services/services/ServiceService.ts:83 un mismo módulo lista/muta servicios, tareas, terminal, stats, logs, redes y provisioning; packages/containerhub-back/src/modules/services/services/ServiceService.ts:645-655 updateNetwork elimina red antes de crear reemplazo (riesgo de pérdida ante error); revisión de puerta: La mezcla Docker servicios/tareas/stats/logs/redes/aprovisionamiento hace tentador extraer, pero ya existen ServiceSpec, ServiceFilters, ContainerStats, AgentHealthClient y AgentTerminalClient. Una partición adicional hoy obligaría a compartir la instancia Docker y utilidades de tarea/nodo o reexportar muchas APIs; no hay corte mínimo con beneficio neto demostrado. Además, la eliminación de red antes de crear otra es riesgo de pérdida funcional, no puede quedar disfrazado de legibilidad.	Corte no ejecutado; puerta: Pedir primero alcance funcional para semántica/rollback del updateNetwork cuando create falla, sin intervenirlo en este corte. Para aprobar una extracción concreta: inventariar imports/exports REST+GraphQL/monitoring y demostrar en GREEN de caracterización orden, payload, 404/503, auditoría y fallos parciales de una única sección; medir que el facade resultante reduce lectura sin una segunda instancia Docker ni dependencia circular. Verificar rutas en API y trabajador real aparte.
packages/containerhub-back/src/modules/services/services/ServiceSpec.ts	a56db92a0faa97fa0eef35ff1ee0de8e6a974bbb282406dd8fae47629b3180fb	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:181	packages/containerhub-back/src/modules/services/services/ServiceService.ts:183	packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:71	unchanged	packages/containerhub-back/src/modules/services/services/ServiceSpec.ts:159 convierte input validado a Docker Spec y preserva campos previos en update	packages/containerhub-back/src/modules/services/services/ServiceSpec.ts:159 Mantener módulo existente; no mover traducción a rutas
packages/containerhub-back/src/modules/services/services/TerminalSessionService.ts	755d56a30f53fdea55375c370341f7f673e1b19dfce1066b6d1878c82183c628	services	packages/containerhub-back/src/modules/services/routes/TerminalRoutes.ts:82	packages/containerhub-back/src/modules/services/routes/TerminalRoutes.ts:103	packages/containerhub-back/src/modules/services/services/__tests__/TerminalSessionService.test.ts:5	unchanged	packages/containerhub-back/src/modules/services/services/TerminalSessionService.ts:23 ticket aleatorio hash almacenado 60 s y consumido una vez	packages/containerhub-back/src/modules/services/services/TerminalSessionService.ts:23 Mantener registro single-process; exigir store atómico antes de múltiples réplicas, no refactor de lectura
packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts	d357e007858392819f9333911220d63d1bc3acb5b35f8823617c01679deb35bd	services	packages/containerhub-back/src/modules/services/services/AgentHealthClient.ts:87	packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts:8	packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts:8-97	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts:8 agent client resolves the requested node through Swarm DNSRR before using it; packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts:97 agent container request validates the node and running-container payload	packages/containerhub-back/src/modules/services/services/__tests__/AgentHealthClient.test.ts:97 Mantener DNSRR y casos de payload inválido; transporte real separado
packages/containerhub-back/src/modules/services/services/__tests__/ClusterSummary.test.ts	ed5c82bcfb2162b0a17e1d131fae75d4834f6e02c172f076211b93dfc3d553af	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:623	packages/containerhub-back/src/modules/services/services/__tests__/ClusterSummary.test.ts:31	packages/containerhub-back/src/modules/services/services/__tests__/ClusterSummary.test.ts:31-31	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/ClusterSummary.test.ts:31 cluster summary preserves retained tasks, empty counts, permission and Docker failure semantics	packages/containerhub-back/src/modules/services/services/__tests__/ClusterSummary.test.ts:31 Mantener prueba de 403 y tareas históricas
packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts	3dcced732f01a84081d48a7f9045d65c421f088ab29e810486cfe3ad2203980f	services	packages/containerhub-back/src/modules/services/services/ContainerStats.ts:17	packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts:17	packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts:17-45	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts:17 normalizes legacy chart metrics with CPU deltas, total memory, every disk and interface; packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts:45 adapts normalized metrics to the legacy stats fields without dropping Docker data	packages/containerhub-back/src/modules/services/services/__tests__/ContainerStats.test.ts:45 Mantener faltantes/no finitos; no sustituir por cero
packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts	01245fc6f013a08295261fc68d2a5da2796a96a6338893f7cd94fbc010516232	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:870	packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts:34	packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts:34-64	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts:34 distributed provisioning does not report success when a worker fails; packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts:64 legacy docker-devops host paths are provisioned at their configured host-volume root	packages/containerhub-back/src/modules/services/services/__tests__/DistributedProvisioning.test.ts:64 Mantener prueba de escapes/symlinks/hardlinks; worker real pendiente
packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts	a641deaa0f94891bed3c78636c749926d4597c854a7f0e59d108475b561e3fea	services	packages/containerhub-back/src/modules/services/helpers/parseDockerImageReference.ts:11	packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts:5	packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts:5-41	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts:5 parses a registry port without treating it as the image tag; packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts:41 defaults an untagged image to latest	packages/containerhub-back/src/modules/services/services/__tests__/DockerImageReference.test.ts:41 Mantener digest/registry/untagged
packages/containerhub-back/src/modules/services/services/__tests__/DockerTerminalE2E.test.ts	a285b104541d54f7321eda8ef22b70da82c0f5bce655768dcdc75c5888cf882b	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:384	packages/containerhub-back/src/modules/services/services/__tests__/DockerTerminalE2E.test.ts:7	packages/containerhub-back/src/modules/services/services/__tests__/DockerTerminalE2E.test.ts:7-7	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/DockerTerminalE2E.test.ts:7 executes the terminal proof inside the configured running task	packages/containerhub-back/src/modules/services/services/__tests__/DockerTerminalE2E.test.ts:7 No ejecutar sin DOCKER_TERMINAL_E2E=1 y task real; prueba de integración opt-in
packages/containerhub-back/src/modules/services/services/__tests__/DockerVersion.test.ts	dc8e9e25f238ed509bc57d88b2f766142b78a20c80a4fb202e74fc26de372ce7	services	packages/containerhub-back/src/modules/services/routes/ServiceRoutes.ts:162	packages/containerhub-back/src/modules/services/services/__tests__/DockerVersion.test.ts:16	packages/containerhub-back/src/modules/services/services/__tests__/DockerVersion.test.ts:16-16	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/DockerVersion.test.ts:16 Docker version endpoint returns the legacy fields to a user with DOCKER_VIEW	packages/containerhub-back/src/modules/services/services/__tests__/DockerVersion.test.ts:16 Mantener respuesta legacy y 403
packages/containerhub-back/src/modules/services/services/__tests__/DockerodeTypes.test.ts	a5321c96b758ded165d4377bc38cf071ae1112d25cbafcf3feae52d43711211e	services	packages/containerhub-back/src/modules/services/helpers/mapInspectToServiceModel.ts:103	packages/containerhub-back/src/modules/services/services/__tests__/DockerodeTypes.test.ts:10	packages/containerhub-back/src/modules/services/services/__tests__/DockerodeTypes.test.ts:10-10	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/DockerodeTypes.test.ts:10 uses the upstream Dockerode service type	packages/containerhub-back/src/modules/services/services/__tests__/DockerodeTypes.test.ts:10 Smoke de tipo upstream, no prueba conducta; no ampliar sin cambio de dependencia
packages/containerhub-back/src/modules/services/services/__tests__/GhostContainers.test.ts	1b7fca731ae1660095c85008e9f2dcc2a0c7b1df4849c3895ed2fef962f6d463	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:683	packages/containerhub-back/src/modules/services/services/__tests__/GhostContainers.test.ts:82	packages/containerhub-back/src/modules/services/services/__tests__/GhostContainers.test.ts:82-148	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/GhostContainers.test.ts:82 ghost reconciliation excludes a healthy Swarm task and returns orphan running containers with their node; packages/containerhub-back/src/modules/services/services/__tests__/GhostContainers.test.ts:148 ghost endpoint returns the reconciled read-only list to a user with DOCKER_VIEW	packages/containerhub-back/src/modules/services/services/__tests__/GhostContainers.test.ts:148 Mantener down-node y 503 sin fallback local
packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts	be90df500383df268e4c5a313e845975acd998715e3d9d5fbe4f42e23dc2b8ad	services	packages/containerhub-back/src/modules/services/services/ServiceService.ts:179	packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:63	packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:63-163	unchanged	packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:63 create service inspects and audits the lowercase id returned by Dockerode; packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:163 create service route preserves the Drax validation response with Fastify validation disabled	packages/containerhub-back/src/modules/services/services/__tests__/ServiceCreate.test.ts:163 Mantener orden validate→network→create→audit; falta caracterización multi-nodo real
